iter	RMSE
0	411.7191216
1	399.726552
2	387.7044923
3	377.2966405
4	366.0946423
5	355.0404667
6	344.8878195
7	334.346401
8	325.4264849
9	317.3013521
10	308.4600284
11	301.0885396
12	293.9100512
13	285.2880195
14	277.9788126
15	271.1696865
16	263.6207305
17	257.4778012
18	250.132983
19	244.0338358
20	238.1103628
21	232.9198557
22	227.1067351
23	222.1066615
24	216.0172847
25	211.0186235
26	206.1576333
27	200.7731819
28	195.5051283
29	191.0518912
30	186.4443712
31	181.8947876
32	177.3408467
33	173.5595173
34	170.0620453
35	166.1050169
36	161.6470123
37	158.5778524
38	154.4907474
39	151.2171035
40	148.4031195
41	145.0065077
42	141.9240599
43	138.7647006
44	135.9376737
45	133.0121213
46	130.3108558
47	127.5457772
48	124.837161
49	122.5058537
50	120.107818
51	117.609325
52	115.2675722
53	113.0430748
54	111.0301047
55	108.8094017
56	107.0413366
57	105.0540762
58	103.8195827
59	102.1249853
60	100.6022502
61	98.98770701
62	97.49016408
63	95.84464431
64	94.44793418
65	92.83692073
66	91.88937312
67	90.3873246
68	88.65925945
69	87.51961128
70	86.14436289
71	84.90090404
72	83.62190606
73	82.45095361
74	81.09626877
75	80.16520843
76	79.28487418
77	77.95930807
78	76.84561436
79	75.53020921
80	74.62085467
81	73.8208413
82	72.81111789
83	71.99092377
84	71.15255932
85	70.6969109
86	70.27586613
87	69.55646264
88	68.66391921
89	67.86262539
90	67.02550369
91	66.60093646
92	66.31923305
93	65.33406067
94	64.41811621
95	64.04317996
96	63.67203323
97	63.32522007
98	63.02083666
99	62.79395643
100	62.02739304
101	61.71690871
102	61.36058059
103	61.08996193
104	60.501946
105	60.24988151
106	59.37512996
107	58.8196862
108	58.51443695
109	57.97784721
110	57.57294501
111	57.37723755
112	57.14991229
113	56.47568776
114	56.27185979
115	55.58257308
116	55.34850385
117	55.08348384
118	54.84921822
119	54.34967562
120	53.63315076
121	53.36510645
122	53.00253244
123	52.770868
124	52.57138153
125	52.37413211
126	51.75106252
127	51.16753385
128	50.44654306
129	50.19941914
130	49.61501988
131	49.44861263
132	49.23447113
133	48.59303512
134	47.97764239
135	47.78442279
136	47.12913198
137	46.6451963
138	46.41403741
139	46.14185534
140	45.65812987
141	45.3062158
142	45.10661999
143	44.95447934
144	44.73398362
145	44.58979094
146	44.43856486
147	44.19958784
148	43.75078985
149	43.60904755
150	43.43872213
151	43.27803625
152	43.03390594
153	42.52321401
154	42.13021912
155	41.6558315
156	41.43628589
157	40.97887698
158	40.85693938
159	40.74964688
160	40.45846657
161	40.31630404
162	40.20609555
163	40.0618115
164	39.58288157
165	39.11912315
166	38.64241093
167	38.47778626
168	38.26877099
169	38.13913119
170	37.75682899
171	37.57672322
172	37.20254518
173	37.09646634
174	36.61837014
175	36.21375705
176	36.10890248
177	35.99578803
178	35.67020141
179	35.57399764
180	35.14684395
181	35.01690291
182	34.92785207
183	34.59325442
184	34.50552612
185	34.14548126
186	34.02947118
187	33.91498812
188	33.8282678
189	33.74278834
190	33.6504018
191	33.26658936
192	32.80422483
193	32.71632284
194	32.63897594
195	32.29150155
196	32.1971957
197	31.87374959
198	31.56889701
199	31.48513506
200	31.16077699
201	30.75784507
202	30.67152108
203	30.60919168
204	30.52502879
205	30.19508703
206	30.12199597
207	30.05360119
208	29.7521859
209	29.46667377
210	29.40487844
211	29.10369742
212	29.04349436
213	28.9844613
214	28.91235853
215	28.84312985
216	28.54424625
217	28.34408022
218	28.27718203
219	28.03870392
220	27.97970558
221	27.91101898
222	27.63719675
223	27.59118254
224	27.26484806
225	26.96877674
226	26.91940099
227	26.67226899
228	26.61445447
229	26.38866849
230	26.13198987
231	25.89756972
232	25.6707599
233	25.44043824
234	25.37175168
235	25.32413496
236	25.2808895
237	25.06576394
238	24.85784383
239	24.6522948
240	24.46213651
241	24.41830727
242	24.36298996
243	24.13554677
244	23.96116159
245	23.7430634
246	23.57262517
247	23.53320583
248	23.4858246
249	23.26476289
250	23.08781205
251	23.04672066
252	22.84391762
253	22.68647871
254	22.53871377
255	22.49733141
256	22.34651903
257	22.20978492
258	22.17080025
259	22.04870095
260	22.01574107
261	21.82625988
262	21.68147729
263	21.64590843
264	21.61501252
265	21.45301312
266	21.27041809
267	21.13858035
268	20.96741871
269	20.93358991
270	20.90128863
271	20.70192958
272	20.54981314
273	20.41064354
274	20.26663695
275	20.23667465
276	20.12130554
277	19.98855119
278	19.95972062
279	19.77700075
280	19.74663616
281	19.60865943
282	19.5795904
283	19.55140817
284	19.52325115
285	19.35463661
286	19.19228439
287	19.16484764
288	19.13811656
289	19.02079348
290	18.89289598
291	18.86822463
292	18.78178267
293	18.61225626
294	18.45730763
295	18.33131797
296	18.22544929
297	18.20748934
298	18.071179
299	17.93675301
300	17.84259556
301	17.8236046
302	17.64694821
303	17.52602568
304	17.41447003
305	17.31884256
306	17.30093251
307	17.20295782
308	17.11592377
309	16.99074701
310	16.90835169
311	16.82318375
312	16.73141673
313	16.62072465
314	16.54520672
315	16.46466713
316	16.37204851
317	16.23152508
318	16.20827877
319	16.11527416
320	16.04887516
321	15.91319296
322	15.80803522
323	15.68528868
324	15.56492692
325	15.47944723
326	15.37759281
327	15.28858759
328	15.20343015
329	15.11553284
330	15.02529955
331	14.90693373
332	14.84585092
333	14.75922373
334	14.6664044
